framework,fm,fm_name,feasibility,reasoning,trace_idx,n_steps,skipped
ChatDev,1.1,Disobey Task Specification,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
AG2,1.1,Disobey Task Specification,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
AppWorld,1.1,Disobey Task Specification,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
HyperAgent,1.1,Disobey Task Specification,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
MetaGPT,1.1,Disobey Task Specification,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
MagenticOne,1.1,Disobey Task Specification,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
OpenManus,1.1,Disobey Task Specification,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
ChatDev,1.2,Disobey Role Specification,Reliable,"The log clearly delineates each step, identifies the speaking agent, and crucially, explicitly logs the `assistant_role_prompt` immediately before the agent's turn. This allows an auditor to directly compare an agent's output in a specific step against its defined role, making it unambiguous to pinpoint the exact step where a role specification was disobeyed.",1.0,68.0,False
AG2,1.2,Disobey Role Specification,Reliable,"The log structure clearly delineates agent roles and step boundaries. The role specifications are explicitly stated in Step 0 by 'mathproxyagent'. The 'assistant' agent's final output in Step 3 directly disobeys the specified output format (e.g., 'use the print function for the output' and 'use fractions/radical forms'). An auditor can unambiguously pinpoint Step 3 as the exact step where the disobedience occurs.",0.0,4.0,False
AppWorld,1.2,Disobey Role Specification,Reliable,"The AppWorld logs clearly delineate steps, attribute actions to specific agents, and often include internal monologues explaining agent reasoning. This granular detail, combined with explicit agent roles and actions, allows an auditor to precisely pinpoint the exact step where an agent disobeys its role specification.",0.0,96.0,False
HyperAgent,1.2,Disobey Role Specification,Reliable,"The log structure clearly delineates agent turns, explicit role assignments (e.g., Planner assigning subgoals to Navigator), and detailed 'Thought' processes within each step. This allows an auditor to precisely compare the assigned role specification (Step 12) with the agent's subsequent internal reasoning (Step 14), unambiguously identifying the exact step where the agent's 'Thought' deviates from its specified role.",1.0,40.0,False
MetaGPT,1.2,Disobey Role Specification,Reliable,"MetaGPT logs explicitly state the agent performing an action at each step, along with the full output of that agent. Disobeying a role specification would manifest as an agent's output being inconsistent with its defined responsibilities, which would be immediately apparent and attributable to the specific agent and step producing that output.",0.0,6.0,False
MagenticOne,1.2,Disobey Role Specification,Reliable,"The log structure clearly delineates each step, identifies the acting agent, and records their output. By comparing the orchestrator's explicit instructions in a preceding step with the agent's response in the current step, an auditor can unambiguously pinpoint the exact step where an agent's action deviates from its specified role or instruction.",2.0,44.0,False
OpenManus,1.2,Disobey Role Specification,Reliable,"The system's plan in Step 1 clearly defines the expected action for the agent. In Step 2, the Manus agent explicitly states its inability to perform the task directly and instead offers guidance to the user, which is a direct disobedience of its role. This deviation is clearly logged within a single step, making its localization unambiguous.",20.0,81.0,False
ChatDev,1.3,Step Repetition,Reliable,"The ChatDev logs provide clear, numbered step delimiters and explicitly record the full message content and actor for each step. This granular and well-structured logging allows an auditor to directly compare the content of individual steps or sequences, making it straightforward to identify and pinpoint the exact step where repetition occurs.",1.0,68.0,False
AG2,1.3,Step Repetition,Reliable,"The log structure provides clear step delimiters, explicit agent roles, and the full content of each agent's output. This allows an auditor to unambiguously identify exact string repetitions (e.g., mathproxyagent's prompts) or semantic repetitions (e.g., assistant's requests for more information) by comparing step contents. The precise step numbers where repetition begins or occurs can be pinpointed with high confidence.",2.0,10.0,False
AppWorld,1.3,Step Repetition,Reliable,"The AppWorld logs provide clear step delimiters and attribute actions to specific agents, including their internal monologues, API calls, and system responses. This granular detail allows for direct comparison of step content, making it straightforward to identify exact steps or narrow intervals where identical actions or outputs are repeated.",1.0,73.0,False
HyperAgent,1.3,Step Repetition,Reliable,"The HyperAgent logs provide explicit step numbers, clear agent identification, and detailed 'Thought', 'Action', and 'Observation' fields for each step. This granular information allows an auditor to unambiguously compare the content and intent of consecutive or non-consecutive steps, making it straightforward to pinpoint exact steps where repetition occurs.",0.0,40.0,False
MetaGPT,1.3,Step Repetition,Reliable,"The log structure clearly delineates each step with a unique number and the responsible agent. Step repetition is directly observable by comparing the content of consecutive or related steps, allowing an auditor to unambiguously pinpoint the exact step numbers (e.g., Step 4 repeating Step 2, and Step 5 repeating Step 3) where the repetition occurs.",15.0,6.0,False
MagenticOne,1.3,Step Repetition,Reliable,"The log structure clearly delineates each step with an explicit step number and the agent responsible. Step repetition, characterized by an agent issuing a substantially similar instruction or performing a similar action to a previous step, can be unambiguously identified by comparing the content of consecutive or near-consecutive steps. This allows for precise pinpointing of the exact step where the repetition occurs.",2.0,44.0,False
OpenManus,1.3,Step Repetition,Reliable,"The log structure clearly delineates each step with an explicit number and agent. 'Manus's thoughts' provide rich internal context, while tool calls ('str_replace_editor') show precise actions, making it straightforward to identify repetitive reasoning or actions within specific steps or a narrow sequence of steps.",0.0,83.0,False
ChatDev,1.4,Loss of Conversation History,Reliable,"The log structure clearly delineates each step with a unique number and identifies the speaking agent. If an agent's message in a specific step demonstrates a lack of awareness of previous conversation turns, that step can be precisely identified as the point where the 'loss of conversation history' manifests. The granularity of agent-to-agent communication logging allows for unambiguous pinpointing of the failure's occurrence.",14.0,68.0,False
AG2,1.4,Loss of Conversation History,Reliable,"The AG2 log structure provides clear step delimiters, agent attributions, and full message content for each turn. A 'Loss of Conversation History' failure would manifest as an agent's message at a specific step being inconsistent with or ignoring prior conversational context, making that exact step the point of failure.",0.0,4.0,False
AppWorld,1.4,Loss of Conversation History,Reliable,"The log structure provides clear step delimiters, explicit agent roles, and detailed internal monologues for each agent. This rich per-step context, especially the agent's reasoning, allows an auditor to precisely identify the step where an agent demonstrates a loss of conversation history by repeating questions or actions, or by failing to acknowledge prior information.",20.0,136.0,False
HyperAgent,1.4,Loss of Conversation History,Reliable,"The HyperAgent logs provide clear step delimiters, explicit agent roles, and detailed internal thoughts and actions for each step. This granularity allows an auditor to precisely identify the step where an agent's behavior (e.g., repetitive actions, ignoring prior context in its 'Thought' or 'Action') indicates a loss of conversation history.",2.0,59.0,False
MetaGPT,1.4,Loss of Conversation History,Reliable,"MetaGPT's logs clearly delineate each step with an explicit step number, the acting agent, and their complete output. If an agent's output in a specific step demonstrates a loss of conversation history (e.g., by ignoring previous instructions or context), this failure is directly observable and localizable to that particular step where the inconsistent output is produced.",17.0,6.0,False
MagenticOne,1.4,Loss of Conversation History,Reliable,"The log clearly delineates steps and agent utterances. The 'Loss of Conversation History' is unambiguously identified at Step 10, where the MagenticOneOrchestrator repeats the entire initial user prompt verbatim after several intermediate interactions, indicating a reset of its understanding of the ongoing task.",4.0,43.0,False
OpenManus,1.4,Loss of Conversation History,Reliable,"The OpenManus log structure provides clear step delimiters, agent roles, and crucially, 'Manus's thoughts' which reveal the agent's internal reasoning and current understanding. A loss of conversation history would manifest as inconsistencies or repetitions in these thoughts or subsequent actions, allowing an auditor to pinpoint the exact step where the agent's context diverged from the established history.",5.0,59.0,False
ChatDev,1.5,Unaware of Termination Conditions,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
AG2,1.5,Unaware of Termination Conditions,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
AppWorld,1.5,Unaware of Termination Conditions,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
HyperAgent,1.5,Unaware of Termination Conditions,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
MetaGPT,1.5,Unaware of Termination Conditions,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
MagenticOne,1.5,Unaware of Termination Conditions,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
OpenManus,1.5,Unaware of Termination Conditions,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
ChatDev,2.1,Conversation Reset,Reliable,"The ChatDev logs provide explicit step delimiters and detailed 'System' steps that clearly define the current phase, active roles, and contextual prompts (e.g., `phase_prompt`, `assistant_role_name`). A 'Conversation Reset' would manifest as a regression or repetition in these structured parameters, allowing an auditor to precisely identify the step where the context or phase reverted to an earlier state.",19.0,63.0,False
AG2,2.1,Conversation Reset,Reliable,"The AG2 log clearly delineates each step with a unique number and identifies the speaking agent. A 'Conversation Reset' would manifest as specific content within an agent's message at a particular step, making it directly attributable to that step and agent.",0.0,4.0,False
AppWorld,2.1,Conversation Reset,Reliable,"The log structure provides clear step numbers, explicit agent roles, and crucial internal monologues (via '#' comments) that reveal an agent's current understanding and plan. A 'Conversation Reset' would manifest as an agent repeating a question, re-executing a task, or reiterating a plan, and the step where this redundant action or reasoning is initiated would be clearly identifiable by comparing current and past agent states.",20.0,136.0,False
HyperAgent,2.1,Conversation Reset,Reliable,"The log explicitly records 'Initialized HyperAgent instance' by the 'system' agent. The repeated occurrence of this specific message across consecutive steps (1-4) provides a clear and unambiguous indicator of a conversation reset or re-initialization event, allowing for precise step-level localization.",2.0,59.0,False
MetaGPT,2.1,Conversation Reset,Reliable,"The MetaGPT log structure clearly delineates each step with a unique number and the acting agent. A 'Conversation Reset' would manifest as an agent's output in a specific step ignoring prior context or repeating previous work, which is directly observable and attributable to that step's content. This allows for unambiguous identification of the exact step where the reset becomes apparent.",17.0,6.0,False
MagenticOne,2.1,Conversation Reset,Reliable,"The 'Conversation Reset' is clearly marked by the MagenticOneOrchestrator repeating its initial setup message (identical to Step 1) at Step 14. The log structure provides explicit step numbers and agent identities, making it unambiguous to pinpoint the exact step where this reset occurs.",8.0,42.0,False
OpenManus,2.1,Conversation Reset,Reliable,"The OpenManus logging schema provides explicit step numbers, clear agent roles, and detailed internal thoughts (`✨ Manus's thoughts:`) alongside tool calls and their results. A 'Conversation Reset' would manifest as a specific thought or action (e.g., repeating a previous step, ignoring recent context, or re-planning from an earlier state) which would be clearly logged at a particular step, allowing for unambiguous localization.",5.0,59.0,False
ChatDev,2.2,Fail to Ask for Clarification,Reliable,"The log structure clearly delineates each step, the speaking agent, and the full message content. An auditor can precisely identify the step where an agent responds to a prompt or message without asking for necessary clarification, thus pinpointing the exact moment of this failure mode's occurrence through the absence of a clarifying question.",1.0,68.0,False
AG2,2.2,Fail to Ask for Clarification,Partially Reliable,"The logs clearly delineate steps and agent actions, showing the assistant identifying missing information and making a conditional request for clarification in Step 1. However, it proceeds with an assumption, and in Step 3, it misinterprets the subsequent agent's output as validation of this unverified assumption. While the logs allow tracing the sequence of events leading to the failure, pinpointing a single 'failure to ask' step is difficult as the agent did mention the need for clarification, but then failed to effectively obtain it or act appropriately when it wasn't provided.",0.0,4.0,False
AppWorld,2.2,Fail to Ask for Clarification,Reliable,"The AppWorld logs provide clear step numbers, explicit agent roles, and detailed internal monologues (comments) alongside actions. This allows an auditor to pinpoint the exact step where an agent receives ambiguous input, fails to generate a clarification request, and instead proceeds with an action based on an unclarified assumption.",4.0,155.0,False
HyperAgent,2.2,Fail to Ask for Clarification,Reliable,"The HyperAgent logs provide explicit step delimiters, clear agent roles, and a 'Thought' field for each Planner and Navigator step. This 'Thought' field reveals the agent's internal reasoning and understanding, allowing an auditor to pinpoint the exact step where the agent made a decision to proceed without seeking clarification, even if its understanding was incomplete or ambiguous.",0.0,40.0,False
MetaGPT,2.2,Fail to Ask for Clarification,Reliable,"The MetaGPT log structure clearly delineates each agent's action within distinct, numbered steps. The failure to ask for clarification is an omission that occurs when an agent receives an ambiguous input (e.g., the initial prompt) but proceeds to generate an output without requesting clarification. An auditor can reliably pinpoint the exact step where an agent, given an ambiguous context, failed to produce a clarification request, especially when subsequent steps (like reviewer comments) confirm the ambiguity.",5.0,6.0,False
MagenticOne,2.2,Fail to Ask for Clarification,Reliable,"The log structure clearly delineates agent actions and their outputs at each step. The failure to ask for clarification can be reliably localized to the MagenticOneOrchestrator's processing after Step 7, where it encountered an obstacle (Zillow denial) but chose an internal strategy shift (Steps 8-9) instead of prompting the user for guidance. The absence of a user-facing clarification request is clearly identifiable at this specific point in the trace.",1.0,17.0,False
OpenManus,2.2,Fail to Ask for Clarification,Reliable,"The `✨ Manus's thoughts:` entries provide explicit insight into the agent's internal reasoning, including its recognition of missing or ambiguous information. An auditor can reliably pinpoint the exact step where Manus acknowledges the lack of clarity (e.g., 'none of the file names explicitly suggest...') but then decides to proceed with an assumption or unguided search instead of formulating a clarification question to the human.",0.0,83.0,False
ChatDev,2.3,Task Derailment,Reliable,"The log structure provides clear step delimiters, explicit agent roles, and detailed message content for each interaction. This allows an auditor to pinpoint the exact step where an agent's decision or statement deviates from the task, making the origin of task derailment unambiguously localizable.",1.0,68.0,False
AG2,2.3,Task Derailment,Reliable,"The AG2 log structure provides clear step delimiters, explicit agent roles, and rich per-step content. Task derailment, being a deviation from the intended task, would manifest as a specific message or action within a single step, making it unambiguously localizable to that step.",11.0,6.0,False
AppWorld,2.3,Task Derailment,Reliable,"The AppWorld logs provide clear step delimiters, explicit agent roles, and detailed per-step reasoning (e.g., Supervisor's '#' comments) and actions. This allows an auditor to precisely identify the step where an agent's plan deviates from the main task or an error forces a change in direction, making task derailment reliably localizable to specific steps or a very narrow interval.",12.0,85.0,False
HyperAgent,2.3,Task Derailment,Reliable,"The log structure provides clear step delimiters, agent roles, and rich per-step metadata, especially the 'Thought' field. The Planner's 'Thought' in Step 11 explicitly reveals a loss of context and a decision to re-attempt a previously explored path, directly contradicting information gathered in Step 7, making it unambiguous that the task derailed at this specific step.",3.0,68.0,False
MetaGPT,2.3,Task Derailment,Reliable,"The MetaGPT logging schema provides clear step delimiters, explicit agent roles, and the full content of each agent's output. This allows an auditor to precisely identify which agent in which specific step produced output that deviates from the task, making step-level localization of task derailment unambiguous.",0.0,6.0,False
MagenticOne,2.3,Task Derailment,Reliable,"The log structure provides clear step delimiters, explicit agent roles, and rich per-step metadata, making it unambiguous to identify deviations. The task derailment can be pinpointed to Step 7, where the WebSurfer agent fails to extract the requested links, and the Orchestrator subsequently proceeds without this critical information, leading to further unrecoverable errors in subsequent steps.",2.0,44.0,False
OpenManus,2.3,Task Derailment,Reliable,"The 'Manus: ✨ Manus's thoughts' entries explicitly detail the agent's current understanding, reasoning, and proposed next steps. A task derailment would be clearly identifiable when these thoughts or the subsequent 'browser_use' actions deviate from the overarching 'system' plan, allowing an auditor to pinpoint the exact step where the deviation in intent or action first occurs.",5.0,59.0,False
ChatDev,2.4,Information Withholding,Reliable,"The log structure clearly delineates each step with a unique number and explicitly identifies the speaking agent. Information withholding, as a failure mode, would manifest as an agent's message being incomplete or lacking expected details, which can be directly attributed to the specific step where that message was generated. The preceding system prompts and conversational context provide sufficient information to determine what was expected from the agent at that particular step.",9.0,64.0,False
AG2,2.4,Information Withholding,Reliable,"The AG2 logging schema clearly delineates each agent's turn and its complete output within a specific step. If an agent withholds information, this failure would manifest as an incomplete, evasive, or absent response within that single, identifiable step, making its localization unambiguous.",0.0,4.0,False
AppWorld,2.4,Information Withholding,Reliable,"The AppWorld logging schema provides explicit step numbers, clear agent roles, and detailed content for each turn, including internal reasoning and external communications. This granularity allows an auditor to precisely identify when information was requested (e.g., Step 12), from whom it was requested, and when the expected information failed to materialize or was inadequately provided in a subsequent step, thus pinpointing the exact moment of withholding.",3.0,112.0,False
HyperAgent,2.4,Information Withholding,Reliable,"The HyperAgent log structure clearly delineates agent actions, thoughts, and observations within each numbered step. This allows an auditor to precisely identify when information was requested by one agent and subsequently withheld or provided incompletely by another agent in a specific, immediately following step, often indicated by explicit truncation or a statement of inability to find the information.",0.0,40.0,False
MetaGPT,2.4,Information Withholding,Reliable,"The MetaGPT log structure clearly delineates agent actions and their outputs per step. When 'Information Withholding' occurs, a subsequent agent (like a reviewer) often explicitly identifies the missing information, directly pointing to the preceding step where that information should have been provided. This allows an auditor to unambiguously pinpoint the exact step of omission.",0.0,6.0,False
MagenticOne,2.4,Information Withholding,Reliable,"The log clearly delineates agent actions and outputs per step. The orchestrator explicitly requests specific information (listing links) multiple times, and the WebSurfer agent consistently fails to provide this information in its subsequent responses, instead offering summaries or strategies. This allows an auditor to reliably pinpoint the exact steps where the requested information was withheld by the WebSurfer.",2.0,44.0,False
OpenManus,2.4,Information Withholding,Reliable,"The log clearly delineates steps, agent roles, and internal thoughts (`✨ Manus's thoughts:`). This allows an auditor to precisely compare information received in one step (e.g., search results) with the agent's subsequent reasoning and actions, thereby pinpointing the exact step where relevant information was present but not acknowledged or utilized.",4.0,59.0,False
ChatDev,2.5,Ignored Other Agent's Input,Reliable,"The log structure clearly delineates each step, identifies the speaking agent, and provides the full content of their message. This allows an auditor to directly compare an agent's output in a specific step against previous inputs from other agents, making it unambiguous to pinpoint the exact step where an input was ignored.",1.0,68.0,False
AG2,2.5,Ignored Other Agent's Input,Reliable,"The log clearly delineates agent turns and their respective messages. The 'assistant' agent explicitly states its need for more information in Step 1, and the 'mathproxyagent' demonstrably ignores this input by instructing it to 'Continue' in Step 2, making the point of failure unambiguous.",2.0,10.0,False
AppWorld,2.5,Ignored Other Agent's Input,Reliable,"The AppWorld logs provide clear step delimiters, explicit agent roles, and detailed per-step metadata including agent thoughts and actions. This allows an auditor to precisely identify when an agent receives input and subsequently observe its immediate actions and reasoning to determine if that input was ignored, pinpointing the exact step of the failure.",3.0,112.0,False
HyperAgent,2.5,Ignored Other Agent's Input,Reliable,"The HyperAgent logs provide clear step delimiters, explicit agent roles, and detailed per-step metadata including 'Thought', 'Action', 'Observation', and 'Subgoal' blocks. This structure allows an auditor to precisely track information flow between agents and identify the exact step where an agent's subsequent 'Thought' or 'Action' fails to incorporate or acknowledge input received from another agent.",0.0,40.0,False
MetaGPT,2.5,Ignored Other Agent's Input,Reliable,"The MetaGPT log structure provides clear agent roles, explicit step delimiters, and the full content of each agent's output. This allows an auditor to precisely identify when specific feedback or input was provided (e.g., Step 3's critique) and then observe if subsequent agents (e.g., SimpleTester in Step 4, or the expected re-appearance of SimpleCoder) incorporated or ignored that input, localizing the failure to a specific step or the absence of an expected step.",1.0,6.0,False
MagenticOne,2.5,Ignored Other Agent's Input,Reliable,"The log structure clearly delineates each step, the agent involved, and the specific input/output for that step. This allows an auditor to directly compare an agent's instruction (input) in step N-1 with the subsequent agent's action/response (output) in step N, making it unambiguous to identify the exact step where an instruction was ignored.",2.0,44.0,False
OpenManus,2.5,Ignored Other Agent's Input,Reliable,"The log clearly delineates steps, attributes actions and thoughts to specific agents (Human, system, Manus), and explicitly captures Manus's internal reasoning via 'Manus's thoughts' blocks. This structure allows an auditor to precisely identify when an input was received and subsequently ignored by observing the content of Manus's thoughts or its subsequent actions in the immediate following step(s).",8.0,99.0,False
ChatDev,2.6,Action-Reasoning Mismatch,Reliable,"ChatDev's logs clearly delineate agent turns, explicit reasoning within those turns, and specific outputs or decisions. An auditor can directly compare an agent's stated logical conclusion or internal decision-making (often verbose) with its subsequent action or output (often concise or an instruction), pinpointing the exact step where the discrepancy arises.",0.0,69.0,False
AG2,2.6,Action-Reasoning Mismatch,Reliable,"The AG2 logs provide clear step delimiters and rich per-step content, often containing both natural language reasoning and explicit actions (code, final answers) from the same agent. This structure allows an auditor to directly compare an agent's stated logic or internal decision-making with its immediate output within a single step, making step-level localization of an action-reasoning mismatch highly reliable.",4.0,4.0,False
AppWorld,2.6,Action-Reasoning Mismatch,Reliable,The AppWorld logging schema explicitly captures agent reasoning via '# comments' immediately preceding their actions. This direct juxtaposition of thought and execution within clearly delineated steps allows an auditor to precisely identify the step where a discrepancy between an agent's stated reasoning and its subsequent action occurs.,0.0,96.0,False
HyperAgent,2.6,Action-Reasoning Mismatch,Reliable,"The HyperAgent log structure explicitly separates an agent's internal 'Thought' from its subsequent 'Action' and the resulting 'Observation'. This clear delineation allows an auditor to directly compare the agent's reasoning with its executed actions or outputs, making it straightforward to pinpoint the exact step where a discrepancy occurs.",0.0,40.0,False
MetaGPT,2.6,Action-Reasoning Mismatch,Reliable,"The MetaGPT log structure clearly delineates each agent's action and output in sequential steps, often including explicit reasoning (e.g., reviewer comments) or code (actions). This allows an auditor to directly compare an agent's action in a given step against the preceding reasoning or expected outcome, reliably pinpointing the exact step where a discrepancy occurs.",3.0,6.0,False
MagenticOne,2.6,Action-Reasoning Mismatch,Reliable,"The log structure clearly delineates agent roles, explicit step boundaries, and distinct statements of reasoning (e.g., orchestrator instructions, assistant suggestions) and actions (e.g., websurfer actions). This allows an auditor to directly compare an agent's stated intent or an instruction with the subsequent action, pinpointing the exact step where a discrepancy occurs.",1.0,17.0,False
OpenManus,2.6,Action-Reasoning Mismatch,Reliable,"The OpenManus log structure explicitly separates agent reasoning (`✨ Manus's thoughts:`) from the subsequent action (command) and its output, each clearly delineated by step numbers. This allows an auditor to directly compare the agent's stated intent with the executed command or its result, pinpointing any mismatch to the exact action or output step immediately following the reasoning.",0.0,83.0,False
ChatDev,3.1,Premature Termination,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
AG2,3.1,Premature Termination,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
AppWorld,3.1,Premature Termination,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
HyperAgent,3.1,Premature Termination,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
MetaGPT,3.1,Premature Termination,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
MagenticOne,3.1,Premature Termination,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
OpenManus,3.1,Premature Termination,Unreliable (Global),Global behavior cannot be localised to a single step.,,,True
ChatDev,3.2,No / Incomplete Verification,Reliable,"The log structure clearly delineates steps, agent roles, and the specific prompts/configurations guiding each interaction. This allows an auditor to identify the exact step where a verification was expected (based on agent role or phase prompt) and then assess if it was omitted or incomplete in that agent's response or the subsequent system state.",1.0,68.0,False
AG2,3.2,No / Incomplete Verification,Reliable,"The failure mode, 'No / Incomplete Verification', is clearly localized to Step 3. In this step, the assistant accepts the result derived from an unverified assumption made in Step 1 as the final answer without any further checking or clarification. The step-by-step logging with clear agent roles and content makes this omission unambiguous.",0.0,4.0,False
AppWorld,3.2,No / Incomplete Verification,Reliable,"The log structure provides clear step delimiters, explicit agent roles, and rich internal monologues for each agent. This allows an auditor to trace the agent's decision-making process and identify the precise step where a necessary verification was omitted, performed inadequately, or where an unverified assumption was made, making step-level localization unambiguous.",1.0,73.0,False
HyperAgent,3.2,No / Incomplete Verification,Reliable,"The HyperAgent logs provide explicit 'Thought' sections for each agent, detailing their reasoning and planned actions. An omission or incomplete verification would be evident in these thoughts (e.g., lack of a verification plan) or in the absence of a corresponding verification action/observation, allowing precise localization to the step where the agent failed to initiate or complete the check.",0.0,40.0,False
MetaGPT,3.2,No / Incomplete Verification,Reliable,"The MetaGPT logs clearly delineate each step by agent and output. The 'No / Incomplete Verification' failure mode is directly identified by the SimpleReviewer agent in subsequent steps (e.g., Step 3 and Step 5), explicitly pointing out omissions in the verification efforts of the SimpleTester (e.g., Step 2 and Step 4). This explicit feedback loop allows an auditor to reliably pinpoint the exact steps where verification was incomplete.",0.0,6.0,False
MagenticOne,3.2,No / Incomplete Verification,Reliable,"The log structure clearly delineates orchestrator directives and agent actions. The failure mode, 'No / Incomplete Verification,' is evident at Step 10 where the orchestrator pivots to a new sub-task without explicitly verifying or concluding the previous search for the APOD and city identification, despite prior instructions to do so. This omission of verification is a distinct event tied to the orchestrator's decision in that specific step.",0.0,13.0,False
OpenManus,3.2,No / Incomplete Verification,Reliable,"The OpenManus framework provides explicit 'Manus's thoughts' steps, which capture the agent's internal reasoning, intentions, and interpretations of previous actions and their outputs. This allows an auditor to directly observe when verification is intended, performed, or omitted, and to compare Manus's conclusions against the actual tool outputs, reliably pinpointing the exact step where a verification failure (omission or misinterpretation) occurs.",0.0,83.0,False
ChatDev,3.3,Incorrect Verification,Reliable,"The log structure clearly delineates individual agent turns and system updates, each marked with a step number and the acting agent. Crucial decisions or agreements, which are central to 'Incorrect Verification,' are explicitly recorded within specific steps, often with explicit confirmations or outputs like '<INFO>'. This allows an auditor to pinpoint the exact step where a decision was made or information was accepted without adequate validation.",0.0,69.0,False
AG2,3.3,Incorrect Verification,Reliable,"The agent's 'Key Idea' in Step 1 explicitly outlines the flawed logic regarding the calculation of 'jog_steps' based on 'remaining_steps'. This clear articulation of the incorrect decision-making process allows an auditor to precisely identify Step 1 as where the failure to adequately verify crucial information occurred, even though the code implementation happens later.",5.0,6.0,False
AppWorld,3.3,Incorrect Verification,Reliable,"The AppWorld logs provide detailed, step-by-step accounts of agent reasoning, actions, and system responses. This granularity allows an auditor to pinpoint the exact step where an agent failed to perform a necessary validation or cross-check, or where an incorrect verification decision was made, as agent intentions and subsequent actions are clearly logged.",29.0,167.0,False
HyperAgent,3.3,Incorrect Verification,Reliable,"The log structure provides explicit step numbers, clear agent roles, and detailed 'Thought' sections that reveal the agent's reasoning, conclusions, and decisions. This granularity allows an auditor to pinpoint the exact step where crucial information was either generated with inadequate validation or accepted without sufficient cross-checking, directly addressing the definition of 'Incorrect Verification'.",1.0,40.0,False
MetaGPT,3.3,Incorrect Verification,Reliable,"The MetaGPT logs provide clear step delimiters, explicit agent roles, and the full output of each agent's action. An auditor can unambiguously identify Step 2, where the SimpleTester introduced tests based on an incorrect verification assumption (expecting exceptions), which is a direct instance of 'failure to adequately validate or cross-check crucial information'. The subsequent review in Step 3 further confirms this specific incorrect verification, making its origin in Step 2 highly localized and clear.",2.0,6.0,False
MagenticOne,3.3,Incorrect Verification,Reliable,"The log structure clearly delineates agent actions and orchestrator instructions, along with detailed environmental context from the WebSurfer. This allows an auditor to precisely identify when an orchestrator fails to verify the outcome of a previous agent's action, as seen in the repeated instructions despite incorrect WebSurfer clicks, pinpointing the exact step where the verification failure occurs.",8.0,42.0,False
OpenManus,3.3,Incorrect Verification,Reliable,"The `✨ Manus's thoughts:` sections provide explicit insights into the agent's interpretation of gathered information, its current state, and its planned next steps, often including implicit or explicit verification points. An incorrect verification would manifest as a flawed interpretation or an inadequate decision to proceed without further checks within these detailed thought processes, allowing precise localization to the specific step where the misjudgment or insufficient action occurred.",7.0,52.0,False
